swab.id;site;date;cluster_size;sex;age;forearm;body.mass;fat.amt;fat.method;percent.fat
NA;Aeolus;2009-Mar-27;NA;F;A;40.6;6.65;0.5755;soxhlet;0.086541353
NA;Aeolus;2009-Mar-27;NA;F;A;37.2;6.92;0.6731;soxhlet;0.097268786
NA;Aeolus;2009-Mar-27;NA;F;A;38.5;7.07;0.577;soxhlet;0.081612447
NA;Aeolus;2009-Mar-27;NA;F;A;37.4;6.05;0.434;soxhlet;0.071735537
NA;Aeolus;2009-Mar-27;NA;F;A;38.6;6.65;0.4762;soxhlet;0.071609023
NA;Aeolus;2009-Mar-27;NA;F;A;38.9;6.93;0.4662;soxhlet;0.067272727
NA;Aeolus;2009-Mar-27;NA;F;A;38.2;6.85;0.4059;soxhlet;0.059255474
NA;Graphite;2008-Nov-18;NA;M;A;38.5;7.8;14.119;soxhlet;0.181012821
NA;Graphite;2008-Nov-18;NA;M;J;36.3;7.2;11.513;soxhlet;0.159902778
NA;Graphite;2008-Nov-18;NA;M;A;39.2;7.3;12.817;soxhlet;0.175575342
NA;Graphite;2008-Nov-18;NA;F;A;37.6;9.4;21.556;soxhlet;0.229319149
NA;Graphite;2008-Nov-18;NA;M;J;37.3;9.2;23.303;soxhlet;0.253293478
NA;Graphite;2008-Nov-18;NA;F;A;36.3;9.8;27.528;soxhlet;0.280897959
NA;Graphite;2008-Nov-18;NA;F;A;39;10;25.137;soxhlet;0.25137
NA;Graphite;2008-Nov-18;NA;F;J;39.3;7.8;16.349;soxhlet;0.209602564
NA;Graphite;2008-Nov-18;NA;M;J;36.7;8.5;19.181;soxhlet;0.225658824
NA;Graphite;2008-Nov-18;NA;F;J;39;7.6;17.577;soxhlet;0.231276316
NA;Graphite;2008-Nov-18;NA;M;A;37;7.5;14.718;soxhlet;0.19624
NA;Graphite;2008-Nov-18;NA;F;A;38.5;8.1;13.821;soxhlet;0.17062963
NA;Graphite;2008-Nov-18;NA;M;A;37.7;8.2;16.732;soxhlet;0.20404878
NA;Graphite;2008-Nov-18;NA;M;A;37.5;7.5;1.362;soxhlet;0.1816
NA;Graphite;2008-Nov-18;NA;M;A;40.2;8.1;13.297;soxhlet;0.164160494
NA;Graphite;2008-Nov-18;NA;M;J;38.3;7.8;0.937;soxhlet;0.120128205
